41,54,-2147483647,-2147483625,3
105,135,-2147483625,-2147483564,3
265,293,-2147483564,-2147483505,3
53,85,-2147483505,-2147483473,5
255,259,-2147483473,-2147483466,7
309,312,-2147483466,-2147483458,7
39,42,-2147483458,-2147483446,8
97,100,-2147483446,-2147483439,9
103,108,-2147483439,-2147483428,9
111,115,-2147483428,-2147483416,9
118,121,-2147483416,-2147483408,9
222,229,-2147483408,-2147483383,9
86,190,-2147483383,-2147483145,12
53,60,-2147483145,-2147483134,13
89,215,-2147483134,-2147482897,13
160,165,-2147482897,-2147482880,15
169,174,-2147482880,-2147482871,15
177,180,-2147482871,-2147482866,15
183,186,-2147482866,-2147482861,15
190,195,-2147482861,-2147482843,15
53,64,-2147482843,-2147482811,16
70,76,-2147482811,-2147482770,16
41,49,-2147482770,-2147482754,18
56,98,-2147482754,-2147482534,18
110,122,-2147482534,-2147482500,18
367,374,-2147482500,-2147482449,18
37,42,-2147482449,-2147482432,19
65,70,-2147482432,-2147482401,19
82,88,-2147482401,-2147482360,19
83,88,-2147482360,-2147482343,20
93,110,-2147482343,-2147482309,20
272,276,-2147482309,-2147482294,20
206,215,-2147482294,-2147482250,21
225,232,-2147482250,-2147482210,21
311,321,-2147482210,-2147482157,21
337,350,-2147482157,-2147482092,21
366,383,-2147482092,-2147482013,21
42,48,-2147482013,-2147481993,22
49,67,-2147481993,-2147481966,23
82,101,-2147481966,-2147481797,23
204,218,-2147481797,-2147481771,23
268,281,-2147481771,-2147481713,23
288,334,-2147481713,-2147481643,23
348,424,-2147481643,-2147481512,23
988,991,-2147481512,-2147481501,23
315,320,-2147481501,-2147481492,25
393,443,-2147481492,-2147481454,25
516,521,-2147481454,-2147481445,25
526,686,-2147481445,-2147481064,25
694,773,-2147481064,-2147480892,25
816,820,-2147480892,-2147480885,25
822,826,-2147480885,-2147480871,25
828,833,-2147480871,-2147480853,25
882,921,-2147480853,-2147480799,25
932,965,-2147480799,-2147480735,25
988,991,-2147480735,-2147480726,25
1002,1011,-2147480726,-2147480707,25
541,544,-2147480707,-2147480673,26
175,188,-2147480673,-2147480647,28
227,232,-2147480647,-2147480638,28
981,988,-2147480638,-2147480625,28
413,418,-2147480625,-2147480609,32
659,664,-2147480609,-2147480600,32
798,811,-2147480600,-2147480572,32
841,852,-2147480572,-2147480547,32
857,1146,-2147480547,-2147480240,32
1168,1172,-2147480240,-2147480233,32
1180,1292,-2147480233,-2147480089,32
1303,1314,-2147480089,-2147480070,32
1316,1320,-2147480070,-2147480063,32
1325,1330,-2147480063,-2147480055,32
1346,1355,-2147480055,-2147480038,32
1357,1363,-2147480038,-2147480028,32
1367,1453,-2147480028,-2147479909,32
1460,1469,-2147479909,-2147479894,32
1476,1483,-2147479894,-2147479883,32
2323,2326,-2147479883,-2147479872,32
2681,2696,-2147479872,-2147479828,32
64,71,-2147479828,-2147479815,33
73,79,-2147479815,-2147479804,33
81,93,-2147479804,-2147479755,33
98,102,-2147479755,-2147479739,33
104,124,-2147479739,-2147479692,33
50,53,-2147479692,-2147479684,35
240,244,-2147479684,-2147479670,36
83,86,-2147479670,-2147479661,37
90,121,-2147479661,-2147479570,37
123,133,-2147479570,-2147479549,37
137,151,-2147479549,-2147479520,37
157,161,-2147479520,-2147479505,37
46,74,-2147479505,-2147479461,38
48,54,-2147479461,-2147479438,40
40,55,-2147479438,-2147479404,42
106,120,-2147479404,-2147479383,42
41,63,-2147479383,-2147479370,43
143,146,-2147479370,-2147479362,43
158,184,-2147479362,-2147479337,43
190,195,-2147479337,-2147479327,43
226,264,-2147479327,-2147479292,43
278,303,-2147479292,-2147479265,43
98,103,-2147479265,-2147479248,44
106,138,-2147479248,-2147479159,44
140,144,-2147479159,-2147479147,44
147,183,-2147479147,-2147479055,44
47,67,-2147479055,-2147479034,49
46,53,-2147479034,-2147479021,51
55,62,-2147479021,-2147478999,51
69,74,-2147478999,-2147478979,51
79,95,-2147478979,-2147478850,51
98,116,-2147478850,-2147478748,51
119,141,-2147478748,-2147478648,51
145,198,-2147478648,-2147478328,51
203,213,-2147478328,-2147478270,51
216,240,-2147478270,-2147478177,51
243,305,-2147478177,-2147477917,51
308,313,-2147477917,-2147477887,51
316,357,-2147477887,-2147477661,51
360,366,-2147477661,-2147477641,51
369,377,-2147477641,-2147477626,51
24,27,-2147477626,-2147477616,52
28,31,-2147477616,-2147477607,52
37,79,-2147477607,-2147477378,52
82,86,-2147477378,-2147477353,52
89,121,-2147477353,-2147477143,52
128,132,-2147477143,-2147477125,52
134,142,-2147477125,-2147477109,52
46,52,-2147477109,-2147477092,53
57,81,-2147477092,-2147476980,53
84,93,-2147476980,-2147476931,53
96,136,-2147476931,-2147476732,53
140,213,-2147476732,-2147476382,53
220,225,-2147476382,-2147476364,53
227,235,-2147476364,-2147476348,53
36,46,-2147476348,-2147476308,54
49,56,-2147476308,-2147476282,54
59,85,-2147476282,-2147476139,54
89,130,-2147476139,-2147475989,54
133,140,-2147475989,-2147475962,54
144,181,-2147475962,-2147475816,54
185,198,-2147475816,-2147475756,54
201,216,-2147475756,-2147475695,54
231,237,-2147475695,-2147475657,54
240,246,-2147475657,-2147475635,54
250,286,-2147475635,-2147475474,54
292,434,-2147475474,-2147474898,54
440,491,-2147474898,-2147474608,54
494,500,-2147474608,-2147474571,54
503,511,-2147474571,-2147474556,54
85,94,-2147474556,-2147474523,55
113,118,-2147474523,-2147474500,55
120,127,-2147474500,-2147474473,55
134,156,-2147474473,-2147474380,55
161,164,-2147474380,-2147474365,55
195,222,-2147474365,-2147474279,55
225,231,-2147474279,-2147474252,55
236,244,-2147474252,-2147474222,55
247,251,-2147474222,-2147474202,55
256,357,-2147474202,-2147473771,55
362,391,-2147473771,-2147473615,55
395,418,-2147473615,-2147473578,55
421,452,-2147473578,-2147473460,55
459,475,-2147473460,-2147473378,55
483,505,-2147473378,-2147473304,55
509,550,-2147473304,-2147473154,55
553,572,-2147473154,-2147473044,55
576,589,-2147473044,-2147472969,55
598,609,-2147472969,-2147472937,55
