21,28,1.0
113,452,1.0
136,195,1.0
137,208,1.0
163,195,0.9932886
196,5072,1.0
198,200,1.0
199,201,1.0
242,243,0.8135593
248,249,0.85507244
259,417,0.74747473
261,262,0.8613139
266,432,1.0
267,433,1.0
272,279,0.71428573
274,442,1.0
275,443,1.0
276,277,0.7443609
284,812,0.73846155
286,814,0.7903226
296,297,0.83035713
308,4749,0.890625
310,4750,0.8741259
313,4753,1.0
347,350,0.8592322
353,475,1.0
360,2922,1.0
422,423,0.79545456
432,442,0.7096774
432,4882,0.7096774
437,475,1.0
437,447,1.0
440,450,1.0
447,458,1.0
486,488,0.75609756
487,488,1.0
494,495,0.8367347
502,503,0.75949365
510,512,1.0
549,550,1.0
557,5563,0.8482456
579,580,1.0
583,6819,0.7741935
583,6491,0.7058824
585,586,1.0
663,664,0.99270076
669,7292,0.70394737
687,690,0.78629035
704,719,1.0
705,709,1.0
710,711,0.81904763
714,715,1.0
715,716,1.0
722,723,0.7826087
735,736,1.0
743,786,0.98571426
744,787,1.0
765,766,0.71428573
767,768,1.0
769,807,1.0
770,806,1.0
770,808,1.0
772,816,1.0
805,806,1.0
822,823,0.92105263
854,865,1.0
858,873,1.0
859,874,0.9859813
860,875,1.0
862,877,0.9928058
863,878,0.9864865
866,881,0.7
867,882,1.0
867,883,0.79611653
918,944,0.96511626
943,4595,1.0
959,960,1.0
1026,1027,1.0
1042,1043,0.7195122
1048,1137,1.0
1053,1143,1.0
1054,1144,1.0
1055,1145,1.0
1057,1147,0.99236643
1059,1149,0.8586956
1060,1150,0.91477275
1061,1151,0.70672387
1062,1152,1.0
1063,1153,1.0
1070,1155,1.0
1071,1156,0.9476584
1072,1157,1.0
1073,1158,1.0
1074,1159,0.86885244
1075,1160,0.794964
1076,1161,1.0
1077,1162,1.0
1078,1163,1.0
1081,1165,1.0
1164,1186,0.90909094
1181,1182,0.7058824
1324,1326,0.8372093
1331,1332,0.8604651
1336,1337,0.8181818
1384,1385,1.0
1403,1405,0.9285714
1404,1406,0.9285714
1404,1405,0.88095236
1406,1407,0.8333333
1407,1408,0.88095236
1411,1419,1.0
1412,1429,1.0
1419,1426,1.0
1420,1427,1.0
1422,1429,1.0
1424,1431,1.0
1505,1507,0.75510204
1506,1507,1.0
1524,1818,0.7105263
1526,1572,1.0
1562,1563,1.0
1573,5097,0.73333335
1578,5093,0.82697946
1595,1598,0.7307692
1598,1600,1.0
1602,1603,0.82051283
1676,1684,0.86206895
1703,1704,0.880597
1725,1726,1.0
1773,1774,0.91803277
1897,1898,1.0
1969,1992,1.0
1971,2010,1.0
1972,2011,1.0
1973,2012,1.0
1974,2013,1.0
1975,2015,0.7714286
1975,2014,1.0
1976,2015,1.0
1977,2017,1.0
1978,2018,0.8082192
1979,2019,0.7794872
1997,5191,0.8082902
2029,2030,1.0
2083,2503,0.8695652
2094,4874,0.84444445
2094,6189,0.82222223
2136,2137,1.0
2139,2140,0.7692308
2155,2250,1.0
2155,2309,1.0
2182,2186,0.7837838
2183,2184,1.0
2184,2185,0.7837838
2273,2850,0.9798995
2274,2851,1.0
2403,2592,1.0
2407,2408,1.0
2409,2410,0.8032787
2413,2602,1.0
2416,2602,1.0
2417,2604,1.0
2419,2610,0.7990654
2435,2688,1.0
2437,2697,1.0
2439,2699,1.0
2440,2700,1.0
2441,2701,1.0
2443,2703,1.0
