19,22,1.000000,2,11,11,11,11
20,21,0.902174,3,13,14,13,14
60,64,0.860215,3,19,20,14,15
111,112,0.946548,3,89,81,70,73
135,139,1.000000,2,7,7,7,7
135,141,1.000000,2,7,7,7,7
139,141,1.000000,2,7,7,7,7
143,150,1.000000,2,7,7,7,7
144,145,0.992701,3,30,30,25,25
166,167,1.000000,2,11,11,11,11
175,176,0.977273,3,13,13,12,12
178,179,1.000000,2,11,11,10,10
231,235,0.990196,3,24,22,20,17
237,423,1.000000,1,10,10,10,10
238,422,1.000000,1,9,9,9,9
249,500,0.870229,3,35,27,31,21
263,265,1.000000,2,70,70,67,67
289,554,1.000000,2,14,14,14,14
312,379,1.000000,1,17,17,17,17
315,320,0.956410,3,83,82,76,74
322,328,0.997672,3,171,171,157,157
323,324,0.997093,3,153,138,128,128
325,329,0.966321,3,151,156,139,143
325,330,0.910308,3,151,132,139,118
329,330,0.913212,3,156,132,143,118
326,327,0.784127,3,156,186,138,163
331,332,0.920354,3,134,133,117,118
333,334,0.984323,3,208,203,190,186
357,358,0.948052,3,16,15,14,13
375,381,0.915851,3,113,114,100,104
377,386,0.863946,3,118,127,104,114
383,385,0.972350,3,103,101,94,92
396,397,0.976190,3,11,11,10,10
406,407,1.000000,2,17,17,15,15
417,463,1.000000,1,9,9,9,9
431,433,0.985612,3,20,20,15,15
445,447,0.903846,3,48,58,46,51
450,451,0.987578,3,23,20,19,16
506,507,0.969231,3,17,16,17,16
508,550,0.863014,3,20,21,20,19
508,551,0.863014,3,20,21,20,20
550,551,0.945205,3,21,21,19,20
569,570,0.839286,3,19,19,15,16
580,581,0.993582,3,378,379,339,339
586,587,0.994709,3,39,39,30,30
594,595,0.979206,3,83,84,75,75
614,616,1.000000,2,11,12,9,9
642,643,1.000000,2,7,7,7,7
688,718,1.000000,1,7,7,7,7
689,719,1.000000,2,55,55,44,44
690,720,1.000000,2,55,55,44,44
691,721,1.000000,2,57,57,46,46
746,748,0.976744,3,19,19,19,19
751,752,0.972477,3,22,22,22,22
754,755,0.954357,3,41,40,41,40
785,786,1.000000,2,8,8,8,8
796,797,0.865672,3,17,17,15,15
