0,0,0.000000,0,0,0,0,0
0,497,1.000000,2,101,100,68,67
1,60,0.925373,3,92,175,62,72
1,498,0.994681,3,92,91,62,61
1,558,0.925373,3,92,175,62,72
60,498,0.950249,3,175,91,72,61
60,558,1.000000,2,175,175,72,72
498,558,0.900498,3,91,175,61,72
2,499,1.000000,1,636,636,222,222
3,500,1.000000,2,210,210,154,154
4,501,1.000000,2,1814,1815,1142,1143
5,502,1.000000,1,103,103,26,26
6,503,1.000000,1,38,38,12,12
7,504,1.000000,1,44,44,18,18
8,505,1.000000,2,526,524,278,276
9,506,0.982379,3,65,64,36,35
1032,1033,1.000000,2,47,47,21,21
1032,1047,1.000000,2,47,46,21,21
1032,1049,1.000000,2,47,47,21,21
1033,1047,1.000000,2,47,46,21,21
1033,1049,1.000000,2,47,47,21,21
1047,1049,1.000000,2,46,47,21,21
10,507,1.000000,2,152,152,93,93
1034,1050,1.000000,2,43,42,17,17
11,508,0.978134,3,370,379,166,172
1035,1051,1.000000,2,46,46,20,20
12,14,1.000000,2,45,43,14,14
12,15,1.000000,2,45,43,14,14
12,509,1.000000,1,45,45,14,14
12,511,1.000000,2,45,43,14,14
12,512,1.000000,2,45,43,14,14
14,15,1.000000,2,43,43,14,14
14,509,1.000000,2,43,45,14,14
14,511,1.000000,1,43,43,14,14
14,512,1.000000,2,43,43,14,14
15,509,1.000000,2,43,45,14,14
15,511,1.000000,2,43,43,14,14
15,512,1.000000,1,43,43,14,14
509,511,1.000000,2,45,43,14,14
509,512,1.000000,2,45,43,14,14
511,512,1.000000,2,43,43,14,14
1036,1043,1.000000,2,45,44,19,18
1036,1044,1.000000,2,45,43,19,17
1036,1054,1.000000,2,45,43,19,17
1043,1044,1.000000,2,44,43,18,17
1043,1054,1.000000,2,44,43,18,17
1044,1054,1.000000,2,43,43,17,17
13,510,1.000000,2,355,353,184,182
16,513,1.000000,2,76,76,45,45
17,514,0.999148,3,404,402,246,244
18,515,0.980707,3,240,236,153,149
1011,1042,1.000000,2,36,37,11,11
1011,1053,1.000000,2,36,38,11,12
1011,1063,1.000000,2,36,38,11,12
1042,1053,1.000000,2,37,38,11,12
1042,1063,1.000000,2,37,38,11,12
1053,1063,1.000000,2,38,38,12,12
19,516,1.000000,1,91,91,60,60
20,517,0.999232,3,483,479,273,269
21,518,1.000000,2,388,388,169,169
22,519,0.979167,3,80,80,17,17
1046,1048,0.947917,3,50,54,24,23
23,520,0.828715,3,313,354,78,91
24,521,1.000000,2,76,76,49,49
25,522,1.000000,2,103,98,64,63
26,523,0.772819,3,1492,1433,724,665
27,525,1.000000,2,704,704,480,480
28,526,1.000000,2,100,100,69,69
29,527,1.000000,1,147,147,104,104
30,528,1.000000,1,617,617,302,302
